text,label
I was charged twice for my subscription this month,billing
Why did my invoice increase compared to last month?,billing
I need a refund for the payment I made yesterday,billing
My credit card was declined but the money was still taken,billing
Can I get a copy of my invoice for March?,billing
How do I update the payment method on my account?,billing
The price on the checkout page is different from the price on your website,billing
I cancelled my plan but I was still billed,billing
Do you offer discounts for annual payment?,billing
There is an unknown charge from your company on my bank statement,billing
I want to downgrade my plan to reduce the monthly cost,billing
My payment failed and now my subscription says overdue,billing
The app crashes every time I open the reports page,technical_issue
I get a 500 error when I try to upload a file,technical_issue
The website is very slow since this morning,technical_issue
Export to CSV produces an empty file,technical_issue
The mobile app does not sync with the web version,technical_issue
"Search results are not loading, the page just spins",technical_issue
After the latest update the dashboard shows wrong numbers,technical_issue
I keep getting a connection timeout error,technical_issue
The PDF download button does nothing when I click it,technical_issue
Notifications stopped working on my Android phone,technical_issue
Images in my project are broken and show a grey box,technical_issue
The API returns invalid JSON for the orders endpoint,technical_issue
I forgot my password and the reset email never arrives,account_access
My account is locked after too many login attempts,account_access
"I cannot log in, it says my email address does not exist",account_access
How do I enable two-factor authentication?,account_access
I want to change the email address linked to my account,account_access
"Someone else may have accessed my account, please help",account_access
The verification code from the authenticator app is rejected,account_access
I need to delete my account and all my data,account_access
My login works on the website but not in the mobile app,account_access
How can I add a new team member to our workspace?,account_access
I was removed from my organization by mistake and need access again,account_access
Single sign-on with Google stopped working for our team,account_access
It would be great to have a dark mode in the app,feature_request
Can you add support for exporting reports to Excel?,feature_request
Please add the option to schedule messages for later,feature_request
We need an integration with Slack for notifications,feature_request
I would love to see keyboard shortcuts for common actions,feature_request
"Is it possible to add more languages, for example German?",feature_request
A calendar view for tasks would be really useful,feature_request
Please allow bulk editing of multiple items at once,feature_request
Could you add custom fields to the customer profile?,feature_request
It would help to have an audit log of who changed what,feature_request
We want the ability to set different permissions per project,feature_request
Can the dashboard be customized with our own widgets?,feature_request
I was billed for a plan I never signed up for,billing
The amount on my receipt does not match what I agreed to pay,billing
Can you send me a VAT invoice with our company details?,billing
I paid for the yearly plan but my account still shows the monthly one,billing
Why is there a late fee on my account?,billing
Please cancel my subscription and stop charging my card,billing
I used a promo code at checkout but the discount was not applied,billing
My trial ended and I was charged without any warning,billing
Is it possible to pay by bank transfer instead of card?,billing
I need to change the billing address on my invoices,billing
The subscription renewed automatically and I want that money back,billing
How much does the premium plan cost per user?,billing
I see a pending transaction from you that I do not recognize,billing
